,hour,day,month,year,coin_num
0,19,200,7,2018,9
1,20,200,7,2018,6
2,21,200,7,2018,12
3,22,200,7,2018,3
4,17,201,7,2018,3
5,18,201,7,2018,15
6,19,201,7,2018,6
7,20,201,7,2018,18
8,21,201,7,2018,9
9,22,201,7,2018,12
10,17,202,7,2018,9
11,18,202,7,2018,12
12,11,203,7,2018,3
13,12,203,7,2018,9
14,15,203,7,2018,6
15,16,203,7,2018,9
16,17,203,7,2018,15
17,18,203,7,2018,12
18,19,203,7,2018,9
19,11,204,7,2018,6
20,12,204,7,2018,12
21,13,204,7,2018,3
22,14,204,7,2018,12
23,15,204,7,2018,6
24,16,204,7,2018,9
25,18,204,7,2018,9
26,19,204,7,2018,15
27,20,204,7,2018,6
28,21,204,7,2018,12
29,11,205,7,2018,3
30,12,205,7,2018,6
31,13,205,7,2018,9
32,14,205,7,2018,9
33,15,205,7,2018,9
34,16,205,7,2018,9
35,17,205,7,2018,9
36,18,205,7,2018,12
37,19,205,7,2018,12
38,21,205,7,2018,6
39,11,206,7,2018,6
40,12,206,7,2018,9
41,13,206,7,2018,30
42,15,206,7,2018,3
43,16,206,7,2018,9
44,17,206,7,2018,3
45,21,206,7,2018,3
46,11,207,7,2018,6
47,12,207,7,2018,12
48,14,207,7,2018,3
49,16,207,7,2018,6
50,21,211,7,2018,1
51,22,211,7,2018,3
52,11,212,7,2018,9
53,12,212,7,2018,9
54,13,212,7,2018,6
55,14,212,7,2018,3
56,18,212,7,2018,6
57,19,212,7,2018,15
58,20,212,7,2018,9
59,22,212,7,2018,10
60,11,213,8,2018,3
61,12,213,8,2018,11
62,13,213,8,2018,12
63,15,213,8,2018,7
64,17,213,8,2018,8
65,18,213,8,2018,9
66,19,213,8,2018,3
67,20,213,8,2018,6
68,21,213,8,2018,13
69,22,213,8,2018,15
70,11,214,8,2018,8
71,12,214,8,2018,15
72,13,214,8,2018,12
73,14,214,8,2018,9
74,15,214,8,2018,18
75,16,214,8,2018,3
76,17,214,8,2018,9
77,18,214,8,2018,15
78,19,214,8,2018,9
79,20,214,8,2018,15
80,21,214,8,2018,18
81,22,214,8,2018,3
82,17,215,8,2018,9
83,18,215,8,2018,15
84,19,215,8,2018,18
85,20,215,8,2018,9
86,22,215,8,2018,6
87,23,215,8,2018,6
88,16,216,8,2018,9
89,17,216,8,2018,6
90,15,220,8,2018,6
91,18,220,8,2018,1
92,20,222,8,2018,3
93,21,222,8,2018,12
94,22,222,8,2018,3
95,17,223,8,2018,9
96,18,223,8,2018,9
97,19,223,8,2018,15
98,20,223,8,2018,15
99,21,223,8,2018,18
100,22,223,8,2018,9
101,11,224,8,2018,6
102,12,224,8,2018,12
103,13,224,8,2018,9
104,14,224,8,2018,6
105,20,224,8,2018,9
106,21,224,8,2018,3
107,22,224,8,2018,6
108,11,234,8,2018,2
109,12,234,8,2018,12
110,13,234,8,2018,6
111,13,235,8,2018,3
112,14,235,8,2018,6
113,15,235,8,2018,6
114,16,235,8,2018,12
115,17,235,8,2018,15
116,18,235,8,2018,12
117,19,235,8,2018,6
118,11,236,8,2018,3
119,12,236,8,2018,6
120,13,236,8,2018,3
121,14,236,8,2018,3
122,15,236,8,2018,12
